	site
generation	N_variants	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300	1350	1400	1450	1500	1550	1600	1650	1700	1750	1800	1850	1900	1950	2000	2050	2100	2150	2200	2250	2300	2350	2400	2450	2500	2550	2600	2650	2700	2750	2800	2850	2900	2950	3000	3050	3100	3150	3200	3250	3300	3350	3400	3450	3500	3550	3600	3650	3700	3750	3800	3850	3900	3950	4000	4050	4100	4150	4200	4250	4300	4350	4400	4450	4500	4550	4600	4650	4700	4750	4800	4850	4900
0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	38	0.0	0.005	0.005	0.0	0.005	0.005	0.0	0.005	0.01	0.005	0.0055	0.006	0.0005	0.0	0.0	0.0005	0.0055	0.01	0.005	0.0	0.0	0.005	0.006	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.005	0.005	0.01	0.01	0.0055	0.0055	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.008	0.003	0.005	0.01	0.005	0.0	0.0	0.0005	0.0005	0.0	0.0	0.005	0.005	0.002	0.002	0.0	0.0	0.0005	0.0005	0.0	0.0	0.005	0.005	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0005	0.0005	0.0	0.0	0.0	0.005	0.005	0.0	0.0	0.005	0.01	0.005	0.0	0.005	0.005	0.012	0.012	0.0	0.0	0.005	0.005	0.0	0.0
200	56	0.005	0.015	0.01	0.0	0.005	0.005	0.0	0.005	0.01	0.005	0.01	0.0105	0.0005	0.0	0.0	0.0	0.0095	0.0195	0.0105	0.0005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0065	0.006	0.006	0.01	0.0105	0.0055	0.005	0.01	0.005	0.0	0.0005	0.0005	0.0	0.0005	0.0005	0.004	0.0095	0.0055	0.0065	0.0155	0.009	0.0	0.003	0.003	0.0	0.0	0.005	0.009	0.004	0.005	0.005	0.0	0.0	0.0	0.0095	0.0095	0.005	0.0155	0.0105	0.0	0.0	0.0	0.005	0.01	0.015	0.01	0.0	0.0	0.0	0.0005	0.006	0.0055	0.0	0.0	0.005	0.009	0.0045	0.0005	0.004	0.004	0.0095	0.0095	0.0015	0.0015	0.005	0.005	0.0	0.0
300	72	0.005	0.015	0.01	0.0	0.005	0.005	0.005	0.01	0.015	0.01	0.015	0.02	0.005	0.0	0.0005	0.0005	0.015	0.025	0.02	0.01	0.002	0.007	0.005	0.0	0.0005	0.001	0.0005	0.0	0.001	0.0075	0.0115	0.015	0.015	0.01	0.01	0.01	0.01	0.01	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.01	0.005	0.005	0.015	0.0105	0.002	0.0065	0.005	0.0	0.0	0.005	0.01	0.005	0.005	0.005	0.0	0.0	0.005	0.01	0.005	0.0	0.01	0.015	0.005	0.0	0.0	0.005	0.015	0.025	0.015	0.0005	0.0005	0.005	0.01	0.01	0.01	0.005	0.0	0.005	0.01	0.005	0.0	0.005	0.005	0.01	0.0115	0.0065	0.005	0.009	0.009	0.0	0.0
400	80	0.01	0.02	0.01	0.0	0.004	0.004	0.0105	0.0155	0.015	0.01	0.015	0.02	0.005	0.0	0.0	0.0	0.01	0.025	0.0205	0.0055	0.0	0.005	0.005	0.005	0.0055	0.0005	0.0	0.0035	0.0035	0.0	0.005	0.016	0.0165	0.0105	0.005	0.005	0.01	0.01	0.01	0.005	0.0	0.0	0.0	0.0015	0.0065	0.0175	0.0125	0.0	0.005	0.015	0.011	0.001	0.005	0.005	0.0	0.0	0.005	0.01	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.0	0.0	0.01	0.019	0.009	0.0	0.0	0.005	0.01	0.02	0.015	0.0	0.0	0.0055	0.0155	0.01	0.005	0.005	0.0	0.005	0.01	0.0055	0.001	0.0055	0.006	0.006	0.01	0.01	0.01	0.015	0.0105	0.0055	0.005
500	85	0.0095	0.0195	0.01	0.0	0.0	0.0	0.0095	0.0195	0.02	0.01	0.021	0.031	0.01	0.0	0.0	0.0	0.01	0.03	0.03	0.01	0.0	0.005	0.01	0.015	0.01	0.0	0.0	0.005	0.005	0.0	0.01	0.025	0.025	0.021	0.011	0.015	0.025	0.02	0.015	0.005	0.0	0.0	0.005	0.005	0.005	0.015	0.01	0.005	0.015	0.02	0.0105	0.0055	0.015	0.01	0.0	0.0	0.005	0.0115	0.0065	0.005	0.005	0.01	0.01	0.01	0.015	0.005	0.0	0.015	0.025	0.01	0.0	0.0	0.01	0.015	0.03	0.025	0.0	0.0	0.01	0.0205	0.0105	0.01	0.011	0.001	0.005	0.01	0.005	0.0005	0.0055	0.0055	0.0055	0.01	0.01	0.01	0.015	0.01	0.005	0.005
600	99	0.01	0.0205	0.0155	0.005	0.0	0.0	0.01	0.02	0.02	0.0105	0.0205	0.03	0.01	0.0005	0.0005	0.0	0.01	0.03	0.03	0.015	0.005	0.005	0.0155	0.0205	0.01	0.0	0.0	0.005	0.005	0.0	0.011	0.026	0.025	0.0205	0.0105	0.0155	0.0255	0.02	0.015	0.01	0.005	0.0	0.005	0.005	0.005	0.015	0.015	0.015	0.02	0.02	0.01	0.0	0.005	0.005	0.0	0.0	0.005	0.01	0.005	0.006	0.011	0.015	0.01	0.011	0.011	0.0	0.0	0.015	0.035	0.026	0.01	0.004	0.015	0.02	0.04	0.035	0.01	0.01	0.01	0.02	0.01	0.0115	0.0115	0.0	0.009	0.014	0.015	0.01	0.01	0.0105	0.0055	0.011	0.011	0.01	0.015	0.01	0.005	0.005
700	116	0.008	0.014	0.011	0.005	0.005	0.005	0.008	0.016	0.016	0.013	0.023	0.026	0.008	0.005	0.005	0.0	0.008	0.029	0.029	0.0135	0.0105	0.01	0.015	0.02	0.01	0.0	0.003	0.008	0.005	0.0	0.015	0.035	0.03	0.02	0.016	0.021	0.025	0.02	0.015	0.02	0.015	0.0	0.005	0.005	0.005	0.015	0.015	0.0155	0.0205	0.02	0.01	0.0	0.01	0.01	0.0	0.0	0.005	0.0105	0.0105	0.015	0.015	0.0195	0.0145	0.01	0.015	0.005	0.0005	0.0155	0.035	0.025	0.01	0.005	0.015	0.02	0.045	0.04	0.015	0.015	0.011	0.026	0.015	0.02	0.025	0.005	0.01	0.015	0.015	0.015	0.015	0.01	0.005	0.01	0.01	0.01	0.015	0.01	0.005	0.005
800	108	0.0086	0.0168	0.0132	0.005	0.01	0.01	0.0086	0.0177	0.0223	0.0178	0.0192	0.0192	0.0064	0.0068	0.0055	0.0005	0.0091	0.0233	0.0188	0.0096	0.01	0.01	0.015	0.015	0.005	0.0005	0.0055	0.005	0.005	0.005	0.01	0.02	0.015	0.015	0.015	0.015	0.015	0.01	0.015	0.02	0.01	0.0005	0.0055	0.005	0.0	0.005	0.01	0.015	0.02	0.015	0.005	0.0	0.005	0.005	0.0	0.0	0.005	0.005	0.005	0.0105	0.0115	0.016	0.01	0.005	0.01	0.0055	0.001	0.0105	0.015	0.01	0.01	0.005	0.01	0.01	0.02	0.02	0.015	0.015	0.01	0.02	0.01	0.015	0.015	0.005	0.015	0.01	0.005	0.011	0.011	0.005	0.0	0.0	0.005	0.005	0.01	0.015	0.005	0.0
