m	r	rws	min_ident	N	generations	total_growth_sites	rate_sites_per_generation
1e-05	1e-05	100	0.805	20	20000	-74	-0.0037
1e-05	1e-05	100	0.805	20	20000	-100	-0.005
1e-05	1e-05	100	0.805	20	20000	-70	-0.0035
1e-05	1e-05	100	0.805	20	20000	-67	-0.00335
1e-05	1e-05	100	0.805	20	20000	-99	-0.00495
1e-05	1e-05	100	0.805	20	20000	-87	-0.00435
1e-05	1e-05	100	0.805	20	20000	-66	-0.0033
1e-05	1e-05	100	0.805	20	20000	-64	-0.0032
1e-05	1e-05	100	0.805	20	20000	-75	-0.00375
1e-05	1e-05	100	0.805	20	20000	-88	-0.0044
1e-05	1e-05	100	0.805	20	20000	-78	-0.0039
1e-05	1e-05	100	0.805	20	20000	-74	-0.0037
1e-05	1e-05	100	0.805	20	20000	-65	-0.00325
1e-05	1e-05	100	0.805	20	20000	-75	-0.00375
1e-05	1e-05	100	0.805	20	20000	-71	-0.00355
1e-05	1e-05	100	0.805	20	20000	-65	-0.00325
1e-05	1e-05	100	0.805	20	20000	-63	-0.00315
1e-05	1e-05	100	0.805	20	20000	-78	-0.0039
1e-05	1e-05	100	0.805	20	20000	-75	-0.00375
1e-05	1e-05	100	0.805	20	20000	-80	-0.004
1e-05	1e-05	100	0.805	20	20000	-80	-0.004
1e-05	1e-05	100	0.805	20	20000	-97	-0.00485
1e-05	1e-05	100	0.805	20	20000	-74	-0.0037
1e-05	1e-05	100	0.805	20	20000	-74	-0.0037
1e-05	1e-05	100	0.805	20	20000	-100	-0.005
1e-05	1e-05	100	0.805	20	20000	-80	-0.004
1e-05	1e-05	100	0.805	20	20000	-84	-0.0042
1e-05	1e-05	100	0.805	20	20000	-79	-0.00395
1e-05	1e-05	100	0.805	20	20000	-66	-0.0033
1e-05	1e-05	100	0.805	20	20000	-75	-0.00375
1e-05	1e-05	100	0.805	20	20000	-82	-0.0041
1e-05	1e-05	100	0.805	20	20000	-69	-0.00345
1e-05	1e-05	100	0.805	20	20000	-71	-0.00355
1e-05	1e-05	100	0.805	20	20000	-83	-0.00415
1e-05	1e-05	100	0.805	20	20000	-71	-0.00355
1e-05	1e-05	100	0.805	20	20000	-75	-0.00375
1e-05	1e-05	100	0.805	20	20000	-80	-0.004
1e-05	1e-05	100	0.805	20	20000	-92	-0.0046
1e-05	1e-05	100	0.805	20	20000	-82	-0.0041
1e-05	1e-05	100	0.805	20	20000	-71	-0.00355
1e-05	1e-05	100	0.805	20	20000	-74	-0.0037
1e-05	1e-05	100	0.805	20	20000	-67	-0.00335
1e-05	1e-05	100	0.805	20	20000	-75	-0.00375
1e-05	1e-05	100	0.805	20	20000	-67	-0.00335
1e-05	1e-05	100	0.805	20	20000	-80	-0.004
1e-05	1e-05	100	0.805	20	20000	-74	-0.0037
1e-05	1e-05	100	0.805	20	20000	-68	-0.0034
1e-05	1e-05	100	0.805	20	20000	-78	-0.0039
1e-05	1e-05	100	0.805	20	20000	-83	-0.00415
1e-05	1e-05	100	0.805	20	20000	-66	-0.0033
1e-06	1e-06	100	0.95	20	20000	47	0.00235
1e-06	1e-06	100	0.95	20	20000	33	0.00165
1e-06	1e-06	100	0.95	20	20000	-1	-5e-05
1e-06	1e-06	100	0.95	20	20000	25	0.00125
1e-06	1e-06	100	0.95	20	20000	-11	-0.00055
1e-06	1e-06	100	0.95	20	20000	13	0.00065
1e-06	1e-06	100	0.95	20	20000	82	0.0041
1e-06	1e-06	100	0.95	20	20000	29	0.00145
1e-06	1e-06	100	0.95	20	20000	10	0.0005
1e-06	1e-06	100	0.95	20	20000	11	0.00055
1e-06	1e-06	100	0.95	20	20000	5	0.00025
1e-06	1e-06	100	0.95	20	20000	24	0.0012
1e-06	1e-06	100	0.95	20	20000	23	0.00115
1e-06	1e-06	100	0.95	20	20000	36	0.0018
1e-06	1e-06	100	0.95	20	20000	23	0.00115
1e-06	1e-06	100	0.95	20	20000	31	0.00155
1e-06	1e-06	100	0.95	20	20000	43	0.00215
1e-06	1e-06	100	0.95	20	20000	15	0.00075
1e-06	1e-06	100	0.95	20	20000	25	0.00125
1e-06	1e-06	100	0.95	20	20000	20	0.001
1e-06	1e-06	100	0.95	20	20000	53	0.00265
1e-06	1e-06	100	0.95	20	20000	36	0.0018
1e-06	1e-06	100	0.95	20	20000	14	0.0007
1e-06	1e-06	100	0.95	20	20000	5	0.00025
1e-06	1e-06	100	0.95	20	20000	-5	-0.00025
1e-06	1e-06	100	0.95	20	20000	127	0.00635
1e-06	1e-06	100	0.95	20	20000	42	0.0021
1e-06	1e-06	100	0.95	20	20000	1	5e-05
1e-06	1e-06	100	0.95	20	20000	-21	-0.00105
1e-06	1e-06	100	0.95	20	20000	41	0.00205
1e-06	1e-06	100	0.95	20	20000	63	0.00315
1e-06	1e-06	100	0.95	20	20000	16	0.0008
1e-06	1e-06	100	0.95	20	20000	27	0.00135
1e-06	1e-06	100	0.95	20	20000	65	0.00325
1e-06	1e-06	100	0.95	20	20000	51	0.00255
1e-06	1e-06	100	0.95	20	20000	31	0.00155
1e-06	1e-06	100	0.95	20	20000	76	0.0038
1e-06	1e-06	100	0.95	20	20000	50	0.0025
1e-06	1e-06	100	0.95	20	20000	29	0.00145
1e-06	1e-06	100	0.95	20	20000	34	0.0017
1e-06	1e-06	100	0.95	20	20000	56	0.0028
1e-06	1e-06	100	0.95	20	20000	28	0.0014
1e-06	1e-06	100	0.95	20	20000	41	0.00205
1e-06	1e-06	100	0.95	20	20000	27	0.00135
1e-06	1e-06	100	0.95	20	20000	113	0.00565
1e-06	1e-06	100	0.95	20	20000	23	0.00115
1e-06	1e-06	100	0.95	20	20000	46	0.0023
1e-06	1e-06	100	0.95	20	20000	-13	-0.00065
1e-06	1e-06	100	0.95	20	20000	47	0.00235
1e-06	1e-06	100	0.95	20	20000	36	0.0018
1e-05	1e-09	100	0.9	50	9700	2641	0.272268041237
1e-05	1e-09	100	0.9	50	10100	2534	0.250891089109
1e-05	1e-09	100	0.9	50	10200	4584	0.449411764706
1e-05	1e-09	100	0.9	50	9400	2510	0.267021276596
1e-05	1e-09	100	0.9	50	9500	3404	0.358315789474
1e-05	1e-09	100	0.9	50	10700	1021	0.0954205607477
1e-05	1e-09	100	0.9	50	12400	3142	0.253387096774
1e-05	1e-09	100	0.9	50	12700	4730	0.372440944882
1e-05	1e-09	100	0.9	50	10600	3175	0.299528301887
1e-05	1e-09	100	0.9	50	11600	3490	0.300862068966
1e-05	1e-09	100	0.9	50	10900	3298	0.302568807339
1e-05	1e-09	100	0.9	50	10500	3323	0.316476190476
1e-05	1e-09	100	0.9	50	12000	3102	0.2585
1e-05	1e-09	100	0.9	50	12500	3460	0.2768
1e-05	1e-09	100	0.9	50	10100	3804	0.376633663366
1e-05	1e-09	100	0.9	50	9900	4644	0.469090909091
1e-05	1e-09	100	0.9	50	12800	3156	0.2465625
1e-05	1e-09	100	0.9	50	10400	4634	0.445576923077
1e-05	1e-09	100	0.9	50	10600	2848	0.268679245283
