generation	size_of_nonrec_region
0	227
10	204
20	207
30	222
40	206
50	211
60	210
70	234
80	223
90	212
100	210
0	232
10	222
20	207
30	206
40	210
50	214
60	209
70	210
80	210
90	216
100	204
0	238
10	212
20	226
30	257
40	225
50	210
60	219
70	210
80	207
90	211
100	227
0	216
10	239
20	223
30	249
40	226
50	219
60	206
70	213
80	216
90	210
100	211
0	238
10	215
20	226
30	209
40	219
50	210
60	215
70	208
80	208
90	225
100	206
0	220
10	221
20	219
30	208
40	213
50	214
60	211
70	206
80	244
90	231
100	211
0	217
10	224
20	217
30	220
40	208
50	211
60	216
70	211
80	218
90	237
100	224
0	222
10	213
20	230
30	208
40	215
50	222
60	210
70	235
80	219
90	208
100	214
0	220
10	211
20	226
30	209
40	212
50	209
60	228
70	205
80	225
90	216
100	222
