generation	size_of_nonrec_region
0	0
25	0
50	0
75	0
100	0
125	0
150	0
175	0
200	0
225	0
250	0
275	1000
300	1000
325	1000
350	1000
375	1000
400	1000
425	1000
450	1000
475	1000
500	1000
525	1000
550	1000
575	1000
600	1000
625	1000
650	1000
675	1000
700	1000
725	1000
750	1000
775	1000
800	1000
825	1000
850	1000
875	1000
900	1000
925	1000
950	1000
975	1000
1000	1000
1025	1000
1050	1000
1075	1000
1100	1000
1125	1000
1150	1000
1175	1000
1200	1000
1225	1000
1250	1000
1275	1000
1300	1000
1325	1000
1350	1000
1375	1000
1400	1000
1425	1000
1450	1000
1475	1000
1500	1000
1525	1000
1550	1000
1575	1000
1600	1000
1625	1000
1650	1000
1675	1000
1700	1000
1725	0
1750	0
1775	1000
1800	1000
1825	1000
1850	1000
1875	1000
1900	1000
1925	1000
1950	1000
1975	1000
2000	1000
2025	1000
2050	1000
2075	1000
2100	1000
2125	1000
2150	1000
2175	1000
2200	1000
2225	1000
2250	1000
2275	1457
2300	1457
2325	1457
2350	1457
2375	1457
2400	1457
2425	1457
2450	1457
2475	1457
2500	1457
2525	1457
2550	1457
2575	1457
2600	1457
2625	1457
2650	1457
2675	1457
2700	1457
2725	1457
2750	1457
2775	1457
2800	1457
2825	1457
2850	1457
2875	1457
2900	1457
2925	1457
2950	1457
2975	1457
3000	1457
3025	1457
3050	1457
3075	1457
3100	1457
3125	1457
3150	1457
3175	1457
3200	1457
3225	1457
3250	1457
3275	1457
3300	1457
3325	1457
3350	1457
3375	1457
3400	1457
3425	1457
3450	1457
3475	1457
3500	1457
3525	1457
3550	1457
3575	1457
3600	1457
3625	1457
3650	1457
3675	1457
3700	1457
3725	1457
3750	1457
3775	1457
3800	1457
3825	1457
3850	1457
3875	1457
3900	1457
3925	1457
3950	1457
3975	1457
4000	1457
4025	1860
4050	1860
4075	1860
4100	1860
4125	1860
4150	1860
4175	1860
4200	1860
4225	1860
4250	1860
4275	1860
4300	1860
4325	1860
4350	1860
4375	1860
4400	1860
4425	1860
4450	1860
4475	1860
4500	1860
4525	1860
4550	1860
4575	1860
4600	1860
4625	1860
4650	1860
4675	1860
4700	1860
4725	1860
4750	1860
4775	1860
4800	1860
4825	1860
4850	1860
4875	1860
4900	1860
4925	1860
4950	1860
4975	1860
5000	1860
5025	1860
5050	1860
5075	1860
5100	1860
5125	1860
5150	1860
5175	1860
5200	1860
5225	1860
5250	1860
5275	1860
5300	1860
5325	1860
5350	1860
5375	1860
5400	1860
5425	1860
5450	1860
5475	1860
5500	1860
5525	1860
5550	1860
5575	1860
5600	1860
5625	1860
5650	1860
5675	1860
5700	1860
5725	1860
5750	1860
5775	1860
5800	1860
5825	1860
5850	1860
5875	1860
5900	1860
5925	1860
5950	1860
5975	1860
6000	1860
6025	1860
6050	1860
6075	1860
6100	1860
6125	1860
6150	1860
6175	1860
6200	1860
6225	1860
6250	1860
6275	1860
6300	1860
6325	1860
6350	1860
6375	1860
6400	1860
6425	1860
6450	1860
6475	1860
6500	1860
6525	1860
6550	1860
6575	1860
6600	1860
6625	1860
6650	1860
6675	1860
6700	1860
6725	1860
6750	1860
6775	1860
6800	1860
6825	1860
6850	1860
6875	1860
6900	1860
6925	1860
6950	1860
6975	1860
7000	1860
7025	1860
7050	1860
7075	1860
7100	1860
7125	1860
7150	1860
7175	1860
7200	1860
7225	1860
7250	1860
7275	1860
7300	1860
7325	1860
7350	1860
7375	1860
7400	1860
7425	1860
7450	1860
7475	1860
7500	1860
7525	1860
7550	1860
7575	1860
7600	1860
7625	1860
7650	1860
7675	1860
7700	1860
7725	1860
7750	1860
7775	1860
7800	1860
7825	1860
7850	1860
7875	1860
7900	1860
7925	1860
7950	1860
7975	1860
8000	1860
8025	1860
8050	1860
8075	1860
8100	1860
8125	1860
8150	1860
8175	1860
8200	1860
8225	1860
8250	1860
8275	1860
8300	1860
8325	1860
8350	1860
8375	1860
8400	1860
8425	1860
8450	1860
8475	1860
8500	1860
8525	1860
8550	1860
8575	1860
8600	1860
8625	1860
8650	1860
8675	1860
8700	1860
8725	1860
8750	1860
8775	1860
8800	1860
8825	1860
8850	1860
8875	1860
8900	1860
8925	1860
8950	1860
8975	1860
9000	1860
9025	1860
9050	1860
9075	1860
9100	1860
9125	1860
9150	1860
9175	1860
9200	1860
9225	1860
9250	1860
9275	1860
9300	1860
9325	1860
9350	1860
9375	1860
9400	1860
9425	1860
9450	1860
9475	1860
9500	1860
9525	1860
9550	1860
9575	1860
9600	1860
9625	1860
9650	1860
9675	1860
9700	1860
9725	1860
9750	1860
9775	1860
9800	1860
9825	1860
9850	1860
9875	1860
9900	1860
9925	1860
9950	1860
9975	1860
10000	1860
